 tD  deltapD pderD
       0.000500,       0.000642,       0.000321,
       0.000569,       0.000743,       0.000777,
       0.000648,       0.000859,       0.000898,
       0.000738,       0.000994,       0.001039,
       0.000840,       0.001149,       0.001202,
       0.000956,       0.001329,       0.001390,
       0.001089,       0.001538,       0.001608,
       0.001239,       0.001778,       0.001859,
       0.001411,       0.002057,       0.002150,
       0.001607,       0.002439,       0.002954,
       0.001829,       0.002838,       0.003077,
       0.002082,       0.003260,       0.003256,
       0.002371,       0.003681,       0.003252,
       0.002699,       0.004157,       0.003679,
       0.003073,       0.004715,       0.004310,
       0.003498,       0.005353,       0.004920,
       0.003982,       0.006076,       0.005584,
       0.004534,       0.006897,       0.006338,
       0.005162,       0.007822,       0.007146,
       0.005877,       0.008871,       0.008101,
       0.006690,       0.010063,       0.009200,
       0.007617,       0.011409,       0.010392,
       0.008672,       0.012925,       0.011708,
       0.009872,       0.014637,       0.013218,
       0.011240,       0.016578,       0.014991,
       0.012796,       0.018770,       0.016919,
       0.014568,       0.021224,       0.018955,
       0.016585,       0.023991,       0.021363,
       0.018882,       0.027145,       0.024353,
       0.021496,       0.030719,       0.027600,
       0.024473,       0.034689,       0.030652,
       0.027862,       0.039046,       0.033639,
       0.031720,       0.043870,       0.037251,
       0.036113,       0.049326,       0.042129,
       0.041114,       0.055586,       0.048333,
       0.046807,       0.062754,       0.055354,
       0.053289,       0.070849,       0.062503,
       0.060668,       0.079820,       0.069268,
       0.069069,       0.089609,       0.075588,
       0.078634,       0.100217,       0.081909,
       0.089522,       0.111732,       0.088909,
       0.101919,       0.124305,       0.097079,
       0.116033,       0.138109,       0.106590,
       0.132100,       0.153321,       0.117456,
       0.150393,       0.170122,       0.129729,
       0.171219,       0.188707,       0.143505,
       0.194929,       0.209275,       0.158811,
       0.221922,       0.232004,       0.175502,
       0.252653,       0.257028,       0.193220,
       0.287639,       0.284412,       0.211447,
       0.299542,       0.261234,      -0.571720,
       0.311937,       0.315541,       1.339550,
       0.324845,       0.343422,       0.687737,
       0.338287,       0.386204,       1.055265,
       0.352285,       0.420388,       0.843204,
       0.366862,       0.440603,       0.498625,
       0.382043,       0.455478,       0.366930,
       0.397852,       0.470350,       0.366828,
       0.414315,       0.486486,       0.398019,
       0.431459,       0.503778,       0.426540,
       0.444052,       0.516593,       0.445490,
       0.457012,       0.529762,       0.457792,
       0.470350,       0.543208,       0.467410,
       0.484078,       0.556856,       0.474432,
       0.498206,       0.570631,       0.478866,
       0.512747,       0.584460,       0.480742,
       0.527712,       0.598272,       0.480166,
       0.543114,       0.612003,       0.477325,
       0.558965,       0.625595,       0.472480,
       0.575279,       0.638998,       0.465945,
       0.675733,       0.709211,       0.437199,
       0.793729,       0.770992,       0.384697,
       0.932329,       0.826857,       0.347856,
       1.095132,       0.879679,       0.328908,
       1.286363,       0.931236,       0.321035,
       1.510986,       0.982362,       0.318348,
