 TD Deltap derivativep
  6.967056333448356E-003  0.275607217698890       3.210000000000000E-004
  7.928510107464226E-003  0.318965985592329       0.335873354189032     
  9.029305008149070E-003  0.368764174460041       0.383572125645605     
  1.028337514816977E-002  0.426718963228500       0.446251873517129     
  1.170465464019324E-002  0.493259646629322       0.514711756894596     
  1.332101170955326E-002  0.570532698320600       0.598200003610064     
  1.517424869425052E-002  0.660255297228805       0.689784641982258     
  1.726436559428502E-002  0.763286032817176       0.799518508165753     
  1.966103297299126E-002  0.883059262938656       0.922671685528843     
  2.239211905570301E-002   1.04704985041681        1.26256018624764     
  2.548549206775408E-002   1.21833844833248        1.32555770819420     
  2.901082257247894E-002   1.39950082507536        1.40024912142573     
  3.303778113321210E-002   1.58023390708663        1.39239518027018     
  3.760817008795421E-002   1.78457819933689        1.57930725870253     
  4.281952822537360E-002   2.02412465957985        1.84847883492294     
  4.874152610880469E-002   2.29801469835227        2.11733111149830     
  5.548563663958270E-002   2.60839478931224        2.39839161196336     
  6.317726683170967E-002   2.96084576397079        2.71872509075382     
  7.192788958652081E-002   3.35794339071763        3.06549250711575     
  8.189078014335197E-002   3.80827356418513        3.47635998944598     
  9.321921374153901E-002   4.31999288427404        3.95496721743989     
  0.106136136183752        4.89782359303215        4.45902046936477     
  0.120836625047328        5.54863440616535        5.02419778915962     
  0.137557560247604        6.28358698669572        5.67873360556468     
  0.156619426375919        7.11684806076667        6.42975431132520     
  0.178300905685610        8.05786211247378        7.26806354332653     
  0.202992153331351        9.11135138386487        8.13422133813366     
  0.231097258580482        10.2992099062524        9.17336552998025     
  0.263103915376344        11.6532054897763        10.4532349501175     
  0.299527685887612        13.1875048605798        11.8500267777932     
  0.341009539296963        14.8918049451040        13.1583759800969     
  0.388232247125076        16.7622420907646        14.4422142251614     
  0.441990053793964        18.8331598760908        15.9913716284744     
  0.503202610739641        21.1753919317998        18.0833857312662     
  0.572887108186791        23.8627769517298        20.7497183497434     
  0.652214011599434        26.9399615879691        23.7615624804845     
  0.742534929906259        30.4151024404185        26.8318187879339     
  0.845354747275290        34.2663054777654        29.7378740023680     
  0.962415227789889        38.4686716055761        32.4486593455403     
   1.09569501544876        43.0226301185820        35.1611779532944     
   1.24740963416593        47.9659589531657        38.1727775306876     
   1.42015082889745        53.3634816138015        41.6756931384515     
   1.61681689507803        59.2894660890592        45.7552844109175     
   1.84069628329706        65.8198975464354        50.4268235766829     
   2.09559300631260        73.0324783323529        55.6907993209477     
   2.38578483671339        81.0109209194774        61.6047939433944     
   2.71616264804551        89.8406549594007        68.1777616881028     
   3.09228615126305        99.5980949143509        75.3417293865257     
   3.52049536762945        110.340766278365        82.9488669841035     
   4.00799423339350        122.096573208998        90.7730011742638     
   4.17385197646757        112.146379919551       -245.424029483774     
   4.34656530297376        135.460088909541        575.064278317467     
   4.52642682927806        147.429255321789        295.233565475818     
   4.71372917174649        165.795342529879        453.025596729474     
   4.90877888085771        180.470353635516        361.985704002068     
   5.11189644120306        189.148546635178        214.066559001440     
   5.32343020559922        195.534305767999        157.510274137580     
   5.54371459275019        201.918777016625        157.480460637838     
   5.77311188958531        208.845876806016        170.866848528540     
   6.01199831714659        216.269241305158        183.110379313385     
   6.18747059796082        221.770653290845        191.239049829316     
   6.36805669812380        227.424035611526        196.530065100361     
   6.55390989287487        233.196332572864        200.667598390342     
   6.74519739156603        239.055347069989        203.671601415439     
   6.94205853532394        244.968881998030        205.576541026885     
   7.14467446761329        250.905598841578        206.373072798831     
   7.35319846367340        256.835017674689        206.124864339442     
   7.56781166696894        262.729663634539        204.913003330798     
   7.78868128685192        268.564637626693        202.845318979871     
   8.01600240089967        274.318474914572        200.020087677849     
   9.41573975474011        304.460545905682        187.688357430912     
   11.0599093129833        330.982803719786        165.147335553873     
   12.9911773286151        354.965353901637        149.333595244538     
   15.2596926731239        377.641560215174        141.198638626592     
   17.9243269725272        399.774708693214        137.817567326191     
   21.0542491621036        421.722831141927        136.665787527955     
 fitness   0.000000000000000E+000
 Match Parameters are:
        64.7703,       279.4974,        24.2409, NaN           , NaN           ,         0.0000, NaN           , NaN           , NaN           ,         0.0111,         0.6314,       102.5795,
